,Actual,Fitted
2019-01-31,61.88999938964844,62.52138070001638
2019-02-01,61.869998931884766,62.53009893750277
2019-02-04,62.5099983215332,62.55625364996013
2019-02-05,61.97999954223633,62.56497188744652
2019-02-06,62.689998626708984,62.57369012493291
2019-02-07,61.630001068115234,62.58240836241839
2019-02-08,62.099998474121094,62.59112659990478
2019-02-11,61.5099983215332,62.61728131236214
2019-02-12,62.41999816894531,62.62599954984853
2019-02-13,63.61000061035156,62.63471778733492
2019-02-14,64.56999969482422,62.6434360248204
2019-02-15,66.25,62.652154262306794
2019-02-18,66.25,62.67830897476415
2019-02-19,66.44999694824219,62.68702721225054
2019-02-20,67.08000183105469,62.69574544973602
2019-02-21,67.06999969482422,62.704463687222415
2019-02-22,67.12000274658203,62.713181924708806
2019-02-25,64.76000213623047,62.73933663716616
2019-02-26,65.20999908447266,62.74805487465255
2019-02-27,66.38999938964844,62.756773112138035
2019-02-28,66.02999877929688,62.765491349624426
2019-03-01,65.06999969482422,62.77420958711082
2019-03-04,65.66999816894531,62.80036429956817
2019-03-05,65.86000061035156,62.809082537054564
2019-03-06,65.98999786376953,62.817800774540046
2019-03-07,66.30000305175781,62.82651901202644
2019-03-08,65.73999786376953,62.83523724951283
2019-03-11,66.58000183105469,62.861391961970185
2019-03-12,66.66999816894531,62.870110199456576
2019-03-13,67.55000305175781,62.87882843694206
2019-03-14,67.2300033569336,62.88754667442845
2019-03-15,67.16000366210938,62.89626491191393
2019-03-18,67.54000091552734,62.922419624372196
2019-03-19,67.61000061035156,62.93113786185859
2019-03-20,68.5,62.93985609934407
2019-03-21,67.86000061035156,62.94857433683046
2019-03-22,67.02999877929688,62.95729257431594
2019-03-25,67.20999908447266,62.98344728677421
2019-03-26,67.97000122070312,62.9921655242606
2019-03-27,67.83000183105469,63.00088376174608
2019-03-28,67.81999969482422,63.00960199923247
2019-03-29,68.38999938964844,63.018320236717955
2019-04-01,69.01000213623047,63.04447494917622
2019-04-02,69.37000274658203,63.05319318666261
2019-04-03,69.30999755859375,63.06191142414809
2019-04-04,69.4000015258789,63.070629661634484
2019-04-05,70.33999633789062,63.079347899119966
2019-04-08,71.0999984741211,63.10550261157823
2019-04-09,70.61000061035156,63.11422084906462
2019-04-10,71.7300033569336,63.122939086550105
2019-04-11,70.83000183105469,63.131657324036496
2019-04-12,71.55000305175781,63.14037556152198
2019-04-15,71.18000030517578,63.16653027398024
2019-04-16,71.72000122070312,63.175248511465725
2019-04-17,71.62000274658203,63.183966748952116
2019-04-18,71.97000122070312,63.19268498643851
2019-04-19,71.97000122070312,63.20140322392399
2019-04-22,74.04000091552734,63.227557936382254
2019-04-23,74.51000213623047,63.236276173867736
2019-04-24,74.56999969482422,63.24499441135413
2019-04-25,74.3499984741211,63.25371264884052
2019-04-26,72.1500015258789,63.262430886326
2019-04-29,72.04000091552734,63.288585598784266
2019-04-30,72.80000305175781,63.29730383626975
2019-05-01,72.18000030517578,63.30602207375614
2019-05-02,70.75,63.31474031124253
2019-05-03,70.8499984741211,63.32345854872801
2019-05-06,71.23999786376953,63.34961326118628
2019-05-07,69.87999725341797,63.35833149867176
2019-05-08,70.37000274658203,63.36704973615815
2019-05-09,70.38999938964844,63.37576797364363
2019-05-10,70.62000274658203,63.384486211130024
2019-05-13,70.2300033569336,63.41064092358829
2019-05-14,71.23999786376953,63.41935916107377
2019-05-15,71.7699966430664,63.42807739856016
2019-05-16,72.62000274658203,63.436795636045645
2019-05-17,72.20999908447266,63.445513873532036
2019-05-20,71.97000122070312,63.4716685859903
2019-05-21,72.18000030517578,63.48038682347578
2019-05-22,70.98999786376953,63.489105060962174
2019-05-23,67.76000213623047,63.497823298447656
2019-05-24,68.69000244140625,63.50654153593405
2019-05-27,68.69000244140625,63.53269624839231
2019-05-28,70.11000061035156,63.541414485877795
2019-05-29,69.44999694824219,63.550132723364186
2019-05-30,66.87000274658203,63.55885096084967
2019-05-31,64.48999786376953,63.56756919833606
2019-06-03,61.279998779296875,63.593723910794324
2019-06-04,61.970001220703125,63.602442148279806
2019-06-05,60.630001068115234,63.6111603857662
2019-06-06,61.66999816894531,63.61987862325168
2019-06-07,63.290000915527344,63.62859686073807
